V1	V2	V3
JS146_Manemanya_North~ARCH_Kenya~Open-air	darkred	tan
JS148_Manemanya~ARCH_Kenya~Open-air	darkred	tan
JS149_Manemanya~ARCH_Kenya~Open-air	darkred	tan
JS150_Lothagam_North~ARCH_Kenya~Open-air	darkred	tan
JS151_Manemanya~ARCH_Kenya~Open-air	darkred	tan
JS152_Lothagam_North~ARCH_Kenya~Open-air	darkred	tan
JSE01_Ethnographic~Ethnographic~Curated	salmon3	navajowhite2
JSE02_Ethnographic~Ethnographic~Curated	salmon3	navajowhite2
JSE03_Ethnographic~Ethnographic~Curated	salmon3	navajowhite2
JSE04_Ethnographic~Ethnographic~Curated	salmon3	navajowhite2
JSE05_Ethnographic~Ethnographic~Curated	salmon3	navajowhite2
JSE06.bead_Ethnographic~Ethnographic~Curated	salmon3	navajowhite2
JSE06.between_Ethnographic~Ethnographic~Curated	salmon3	navajowhite2
JSE07_Ethnographic~Ethnographic~Curated	salmon3	navajowhite2
JSE08_Ethnographic~Ethnographic~Curated	salmon3	navajowhite2
JSE09_Ethnographic~Ethnographic~Curated	salmon3	navajowhite2
JSE10_Ethnographic~Ethnographic~Curated	salmon3	navajowhite2
MALAWI_BLANK~NA~NA	brown	lemonchiffon
NA~NA~NA	brown	lemonchiffon
OES_BL1~NA~NA	brown	lemonchiffon
OES_BLANK_3~NA~NA	brown	lemonchiffon
OES_BLANK_4~NA~NA	brown	lemonchiffon
OES_BLANK2~NA~NA	brown	lemonchiffon
